subject	document	sentence
ComputerScience	2	In stored program computers, algorithm and data applications are the same program.
ComputerScience	2	Programs can produce other programs.
ComputerScience	2	Stored program computers consist of three main parts: the control unit, memory, and the arithmetic logic unit (ALU).
ComputerScience	2	Stored program computers also have input and output devices, parts we regularly interact with.
ComputerScience	2	Keyboards, mice, and screens are all examples of input and output devices.
ComputerScience	2	A computer's memory stores all the information it receives.
ComputerScience	2	Computers have one kind of memory, not separate systems.
ComputerScience	2	The control unit tells the computer what to do.
ComputerScience	2	The arithmetic logic unit (ALU is a fundamental part of modern computers and acts as the computer's brain.
ComputerScience	2	Modern ALUs have billions of transistors.
ComputerScience	2	Transistors in the ALU can be seen as equivalent to light bulbs.
ComputerScience	2	Computers using the binary system interpret 0 as off and 1 as on.
ComputerScience	2	"Modern computers can turn these ""lightbulbs"" on and off billions of times every second."
ComputerScience	2	Complex operations are possible due to the large number of quick switches transistors can make.
ComputerScience	2	The binary system allows computers to process large amounts of data and execute algorithms efficiently.
