subject	document	sentence
Statistics	1	Statistics involves collecting and analyzing data.
Statistics	1	The population is the entire collection of objects or individuals about which information is desired.
Statistics	1	A population can be broad, like all people in a country.
Statistics	1	A population can be specific, like college students.
Statistics	1	Factors like births, deaths, immigration, or emigration continuously change the population.
Statistics	1	Researchers use a sample rather than a population
Statistics	1	It is often not possible to collect a true population.
Statistics	1	A sample is a subset of the population.
Statistics	1	Capital or uppercase N refers to the population.
Statistics	1	Lowercase n refers to the sample.
Statistics	1	Finite population statistics is collecting a sample using a random small group of people.
Statistics	1	A good sample looks like the population.
Statistics	1	There are two types of statistics, descriptive statistics and inferential statistics..
Statistics	1	Descriptive statistics describes data, like a summary of data.
Statistics	1	Examples of descriptive statistics are averages, maximum, and minimum.
Statistics	1	Inferential statistics are used to infer or predict the data we don??t have.
Statistics	1	The weather stations are samples, and the weather in the entire city is a population.
Statistics	1	We draw inferences about the weather in places without weather stations.
