subject	document	sentence
Physics	3	Quantum is the smallest quantity of energy
Physics	3	To make an electron move to a higher level, a precise amount of energy should be fed
Physics	3	When lasers emits energy, they create a lot of photons, identical in energy, frequency, and wavelength
Physics	3	Frequency and wavelength determine the color of the light
Physics	3	Laser light is monochromatic
Physics	3	There are five laser types: solid, gas, liquid, semiconductor, and fiber
Physics	3	Doping is the process of replacing solid atoms with impure ones
Physics	3	Gas lasers produce continuous beams
Physics	3	Gas lasers use noble gas or CO2 as the medium
Physics	3	CO2 lasers are used in industrial cutting and engraving
Physics	3	Liquid dye lasers can make lasers with many different colors
Physics	3	Solid, liquid, and gas lasers require expensive equipment
Physics	3	Semiconductors are small and cheap
Physics	3	Semiconductor lasers are found in CD players, printers, and barcode scanners
Physics	3	A fiber optic is as thin as a human hair
Physics	3	Lasers can send signals without data loss
Physics	3	Data sent over a fiber optic cable is not vulnerable to electrical interference
Physics	3	Using fiber optic cable results in fewer signal dropouts
