subject	document	sentence
Statistics	4	Experiments can be expensive, difficult to run, and unethical.
Statistics	4	If causality is not the focus, you do not need to run an experiment.
Statistics	4	We cannot conduct an experiment about smoking and lung cancer because of ethics issue.
Statistics	4	Vaccine trials differ from smoking studies because there is no intention to cause harm.
Statistics	4	Observational studies are fraught with issues.
Statistics	4	Simple random sampling (SRS) means that every member of the sample is equally likely to be picked.
Statistics	4	In convenience sampling, sampling is based on ease of access.
Statistics	4	In stratified sampling, participants are selected from subgroups of the population.
Statistics	4	A sample should be unbiased.
Statistics	4	A biased sample can overly represent one group.
Statistics	4	The results of a survey in a shopping mall in the middle of a weekday cannot be generalized to those who work during the weekdays.
Statistics	4	When conducting surveys, think about who you can generalize those results to.
Statistics	4	Over-representation or under-representation can produce a selection bias.
Statistics	4	Nonresponse bias occurs when participants ignore or refuse to answer a survey.
Statistics	4	Response bias can arise if the researcher asks misleading questions.
