subject	document	sentence
Ecology	1	The word 'toucan' comes from the Tupi Natives from Brazil
Ecology	1	The toucan is a member of the Ramphastidae bird family
Ecology	1	Toucans are mostly found in South America
Ecology	1	The largest toucan species is the toco toucan
Ecology	1	The average lifespan of a toucan in captivity is 18 years
Ecology	1	Toucans do not migrate because of their beak size
Ecology	1	The anatomy of a toucan helps them stand on trees for long periods of time
Ecology	1	Toucans rely on natural tree hollows or woodpeckers to make tree holes for their babies
Ecology	1	Due to their unique anatomy, up to 6 toucans can fit inside one tree hole
Ecology	1	Both toucan parents take care of their babies
Ecology	1	Baby toucans (toucanets) hatch blind and naked
Ecology	1	Unlike most mother birds, toucans leave the nest together once toucanets can fly
Ecology	1	Female toucans can lay up to 21 eggs
Ecology	1	Mother and father toucans will take turns sitting on their eggs until they hatch
