subject	document	sentence
Statistics	2	Descriptive statistics is about graphing, describing, and characterizing.
Statistics	2	Descriptive statistics tell you about the sample.
Statistics	2	Inferential statistics tell you about the population.
Statistics	2	Random sampling is the best way to collect data.
Statistics	2	Random sampling means that everyone in the population is equally likely to be picked.
Statistics	2	Data collection can be done two ways, via experiments or direct observation.
Statistics	2	Courses about experiments are called research methods.
Statistics	2	A survey is the most common type of a direct observation.
Statistics	2	There are three types of observational studies cross-sectional, retrospective, and prospective studies.
Statistics	2	The most common type of observational study is a cross-sectional study.
Statistics	2	Cross-sectional studies take a measurement at a given time and look at the data.
Statistics	2	Cross-sectional studies stop the time.
Statistics	2	Retrospective studies look at existing data that has already been collected.
Statistics	2	Retrospective studies go back in time.
Statistics	2	Robert Fogel conducted a retrospective study on civil war medical records.
Statistics	2	A lot of retrospective studies are not done by the people who collected the data.
Statistics	2	Prospective studies go forward in time.
Statistics	2	Economist call prospective studies longitudinal studies.
Statistics	2	The person who collects data in a prospective study is usually the person who designed the study.
