subject	document	sentence
Ecology	4	Toucans require a low iron diet to avoid hemochromatosis
Ecology	4	Hemochromatosis is the leading cause of death for toucans in captivity
Ecology	4	Hemochromatosis does not affect parrots, finches, and canaries
Ecology	4	Hemochromatosis causes excess fluid to build up and makes it hard for a toucan to breathe
Ecology	4	Common symptoms of hemochromatosis include open-mouthed breathing and a swollen abdomen
Ecology	4	A vet can take a liver biopsy to check for hemochromatosis if a bird is healthy enough
Ecology	4	Golden brown deposits of iron in liver cells confirms a diagnosis of hemochromatosis
Ecology	4	An enlarged liver does not confirm whether hemochromatosis is present
Ecology	4	Enlargement of the heart can occur in hemochromatosis, but doctors do not know why
Ecology	4	Hemochromatosis enlarges a toucan's liver and is life threatening
Ecology	4	A phlebotomy is one way to treat hemochromatosis in birds, it decreases iron content
Ecology	4	A phlebotomy is the practice of drawing blood
Ecology	4	Cheap dog food can be fed to toucans because of their low iron content
Ecology	4	Toucans require a low iron vegetarian diet to decrease the chance of getting hemochromatosis
