subject	document	sentence
Physics	2	Creating a laser requires atoms with electrons
Physics	2	A load of atoms could be solid, liquid, or gas, and is called the medium
Physics	2	To create a laser, you also need something to stimulate the medium
Physics	2	A flash tube emits light to stimulate medium
Physics	2	Ruby crystal can serve as a red laser's medium
Physics	2	Ruby crystal absorbs energy from flash tube (absorption)
Physics	2	The electrons quickly return to their original energy level called ground state
Physics	2	Electrons release energy when revert to ground state, which is called spontaneous emission
Physics	2	Traveling photons can stimulate other already-excited atoms, making them emit a photon
Physics	2	Stimulated emission doubles the light
Physics	2	Radio waves, X-rays and infrared light, lasers make electromagnetic radiation
Physics	2	Radiation is electrons giving off absorbed energy
Physics	2	Shifting an electron up an energy level is absorption
Physics	2	Spontaneous emission of radiation is the atom giving off light or emitting radiation
Physics	2	Typically, a medium has more electrons in their ground state than their excited state
Physics	2	The meta-stable state is a short-term excited condition
Physics	2	We amplify light using stimulated emission of radiation
Physics	2	LASER stands for Light Amplification by Stimulated Emission of Radiation
