subject	document	sentence
ComputerScience	1	Declarative knowledge is a factual statement.
ComputerScience	1	Imperative knowledge is solving a problem or accomplishing a task.
ComputerScience	1	Algorithms are instructions with steps to complete in a specific order.
ComputerScience	1	Algorithms outline a beginning, middle, and end.
ComputerScience	1	Algorithms can contain a loop instruction that tells the program to repeat.
ComputerScience	1	Proper termination instructions are crucial in algorithms to prevent infinite loops.
ComputerScience	1	One of the first computers was designed at Iowa State University in 1937 by Atanasoff and Berry.
ComputerScience	1	Early computers were called fixed program computers, designed for specific problems.
ComputerScience	1	The Atanasoff and Berry Computer (ABC) was made to help drop bombs in World War II.
ComputerScience	1	Alan Turing's machines were built for the Allies to decode German military messages during World War II.
ComputerScience	1	Early computers operated by executing a set of algorithms while separately receiving operator input.
ComputerScience	1	Fixed program computers were limited in functionality, only capable of performing predefined tasks.
ComputerScience	1	The invention of stored program computers marked a significant technological breakthrough.
