subject	document	sentence
Ecology	2	The color of toucans comes from their skin, not their feathers
Ecology	2	Toucans are covered in feathers except around their feet, bill, and eyes
Ecology	2	Toucans use their colorful feathers to mimic fruits to avoid predators
Ecology	2	The gender of a toucan is hard to determine just by looking at them
Ecology	2	The structure of a toucan's bill looks like a honeycomb
Ecology	2	A toucan's bill is composed of the protein keratin
Ecology	2	A toucan's bill has the consistency of a hard sponge
Ecology	2	A toucan's bill offers two main advantages: foraging and communication
Ecology	2	Toucan's take advantage of their large bill by intimidating smaller birds
Ecology	2	Toucan's can reach into deeper places to get food because of their bill
Ecology	2	Toucans cannot eat during their digestion period
Ecology	2	To try and find mates, toucans use their bills to toss berries to one another
Ecology	2	Toucans manage their body temperature with their bill
Ecology	2	Toucans mostly eat fruit, but occasionally they eat lizards and insects
