subject	document	sentence
ComputerScience	4	If a program crashes or freezes, you know that something went wrong immediately.
ComputerScience	4	The most challenging type of error is when a program runs to completion but produces the wrong output.
ComputerScience	4	Python is an interpreted language, making debugging easy.
ComputerScience	4	Interpreted languages can describe what went wrong using the language of the source code.
ComputerScience	4	Compiled language programs will give you an unintelligible error message in the machine code
ComputerScience	4	In almost all programming languages, you will first see the integrated development environment (IDE) which Python calls the IDLE.
ComputerScience	4	IDLE is named after Eric Idle from Monty Python, who also who inspired the name Python.
ComputerScience	4	The IDLE has highlighting, auto-completion, and smart indenting to help see and write your code.
ComputerScience	4	The shell in the IDLE is where Python runs the code.
ComputerScience	4	You can write and run code in the text editor to have many lines of code executed together.
ComputerScience	4	Everything is an object in Python with many categories that tell you what kind of object it is and what it can do.
ComputerScience	4	There are two types of numbers in programming: integers and floating point.
ComputerScience	4	"Integers deal with whole numbers and are notated ""I-N-T"" in Python."
ComputerScience	4	"Floating point deals with decimals and is notated ""F-L-O-A-T"" in Python."
