subject	document	sentence
Physics	4	The James Bond movie Goldfinger (1964) introduced people to lasers
Physics	4	CO2 lasers are used for cutting fabrics
Physics	4	Lasers can remove skin discoloration or tumors
Physics	4	LASIK uses lasers to reshape the cornea, which is an irreversible procedure
Physics	4	Reversible LASIK places a special contact lens on the cornea
Physics	4	Barcode scanners utilize lasers for data reading
Physics	4	DVD players utilize lasers for data reading
Physics	4	Lasers are also used to send and receive signals for the internet
Physics	4	One of the biggest users of lasers is the military
Physics	4	Military uses guided weapons and missiles
Physics	4	"Strategic Defense Initiative (SDI) is commonly known as the ""Star Wars program"
Physics	4	SDI planned to use nuclear reactor to power lasers in space
Physics	4	SDI was never implemented
Physics	4	In 2014, the US Navy tested a Laser Weapon System in the Persian Gulf
Physics	4	In low energy state, the laser can be used to cripple the sensors of a target
Physics	4	In high energy state, the laser can destroy the target altogether
Physics	4	Lasers are cheaper than conventional missiles because the only cost is the energy it takes to make the laser
Physics	4	Lasers are cheaper because they do not require hardware missiles and storage
